Date of Data,Code,Company Name,Nikkei Industrial Classification,Weight,Dividend
2018/11/30,8953,Japan Retail Fund Investment Corp,REIT,0,3.80
2018/11/30,3283,Nippon Prologis REIT Inc,REIT,0,2.87
2018/11/30,8960,United Urban Investment Corp,REIT,0,3.5
2018/11/30,8985,Japan Hotel REIT Investment Corp,REIT,0,4.5
2018/11/30,3281,GLP J-Reit,REIT,0,3.6
2018/11/30,8963,Invincible Investment Corp,REIT,0,5.32
2018/11/30,3462,Nomura Real Estate Master Fund Inc,REIT,0,3.2
2018/11/30,3292,AEON REIT Investment Corp,REIT,0,4.11
2018/11/30,3309,Sekisui House Reit Inc,REIT,0,3.51
2018/11/30,8964,Frontier Real Estate Investment Corp,REIT,0,4.4
2018/11/30,8961,"MORI TRUST Sogo Reit, In",REIT,0,3.79
2018/11/30,3296,Japan REIT,REIT,0,3.8
2018/11/30,3473,Sakura REIT,REIT,0,5.46
2018/11/30,8898,Century 21,REIT,0,4
